Variable name,"var_availability (this was calculated using the full final_dataset.csv, with all subjects)",Category of variable,Sub-category of variable,Metadata: CRFNAME,Metadata: TEXT,Key variable,
ADMCDUKEP180FIAADNI2GO__PC_aa_C38_5,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C38:5,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C38_6,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C38:6,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C40_1,12.06118355,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C40:1,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C40_2,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C40:2,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C40_3,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C40:3,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C40_4,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C40:4,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C40_5,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C40:5,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C40_6,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C40:6,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C42_0,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C42:0,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C42_1,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C42:1,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C42_2,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C42:2,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C42_4,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C42:4,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C42_5,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C42:5,,
ADMCDUKEP180FIAADNI2GO__PC_aa_C42_6,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC aa C42:6,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C30_0,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C30:0,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C30_1,21.06318957,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C30:1,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C30_2,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C30:2,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C32_1,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C32:1,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C32_2,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C32:2,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C34_0,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C34:0,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C34_1,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C34:1,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C34_2,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C34:2,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C34_3,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C34:3,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C36_0,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C36:0,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C36_1,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C36:1,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C36_2,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C36:2,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C36_3,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C36:3,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C36_4,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C36:4,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C36_5,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C36:5,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C38_0,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C38:0,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C38_1,17.10130391,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C38:1,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C38_2,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C38:2,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C38_3,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C38:3,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C38_4,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C38:4,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C38_5,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C38:5,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C38_6,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C38:6,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C40_1,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C40:1,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C40_2,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C40:2,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C40_3,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C40:3,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C40_4,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C40:4,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C40_5,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C40:5,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C40_6,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C40:6,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C42_0,0.92778335,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C42:0,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C42_1,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C42:1,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C42_2,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C42:2,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C42_3,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C42:3,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C42_4,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C42:4,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C42_5,22.11634905,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C42:5,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C44_3,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C44:3,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C44_4,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C44:4,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C44_5,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C44:5,,
ADMCDUKEP180FIAADNI2GO__PC_ae_C44_6,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",PC ae C44:6,,
ADMCDUKEP180FIAADNI2GO__SM__OH__C14_1,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",SM (OH) C14:1,,
ADMCDUKEP180FIAADNI2GO__SM__OH__C16_1,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",SM (OH) C16:1,,
ADMCDUKEP180FIAADNI2GO__SM__OH__C22_1,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",SM (OH) C22:1,,
ADMCDUKEP180FIAADNI2GO__SM__OH__C22_2,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",SM (OH) C22:2,,
ADMCDUKEP180FIAADNI2GO__SM__OH__C24_1,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",SM (OH) C24:1,,
ADMCDUKEP180FIAADNI2GO__SM_C16_0,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",SM C16:0,,
ADMCDUKEP180FIAADNI2GO__SM_C16_1,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",SM C16:1,,
ADMCDUKEP180FIAADNI2GO__SM_C18_0,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",SM C18:0,,
ADMCDUKEP180FIAADNI2GO__SM_C18_1,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",SM C18:1,,
ADMCDUKEP180FIAADNI2GO__SM_C20_2,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",SM C20:2,,
ADMCDUKEP180FIAADNI2GO__SM_C24_0,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",SM C24:0,,
ADMCDUKEP180FIAADNI2GO__SM_C24_1,42.00100301,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",SM C24:1,,
ADMCDUKEP180FIAADNI2GO__SM_C26_0,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",SM C26:0,,
ADMCDUKEP180FIAADNI2GO__SM_C26_1,22.14142427,Blood test,Lipidomics,"ADMC Duke p180 Flow Injection Analysis [ADNI GO,2]",SM C26:1,,
ADMCDUKEP180FIA_LEVEL5__P180_M12,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M17,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M16,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M21,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M190,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M47,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M188,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M31,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M32,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M77,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M78,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M76,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M1,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M164,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M69,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M10,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M33,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M50,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M28,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M161,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M79,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M75,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M55,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M56,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M57,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M58,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M59,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M60,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M61,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M62,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M63,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M64,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M66,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M67,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M84,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M85,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M87,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M88,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M90,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M93,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M94,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M95,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M96,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M100,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M101,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M102,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M104,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M105,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M106,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M107,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M109,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M110,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M111,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M112,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M113,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M114,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M115,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M116,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M117,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M118,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M119,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M120,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M122,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M123,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M124,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M125,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M126,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M127,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M128,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M129,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M130,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M131,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M132,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M133,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M134,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M135,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M138,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M139,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M140,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M141,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M143,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M144,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M145,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M146,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M147,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M148,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M150,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M151,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M152,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M153,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M154,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M155,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M156,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M157,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M158,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M179,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M180,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M181,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M182,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M183,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M169,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M170,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M171,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M172,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M173,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M175,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M176,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M177,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180FIA_LEVEL5__P180_M178,18.27983952,Blood test,Other metabolites,0,0,,
ADMCDUKEP180UPLCADNI2GO__Ala,42.00100301,Blood test,Amino acids and related metabolites,"ADMC Duke p180 Ultra Performance Liquid Chromatography [ADNI GO,2]",Alanine,,
ADMCDUKEP180UPLCADNI2GO__Arg,42.00100301,Blood test,Amino acids and related metabolites,"ADMC Duke p180 Ultra Performance Liquid Chromatography [ADNI GO,2]",Arginine,,
ADMCDUKEP180UPLCADNI2GO__Asn,42.00100301,Blood test,Amino acids and related metabolites,"ADMC Duke p180 Ultra Performance Liquid Chromatography [ADNI GO,2]",Asparagine,,
ADMCDUKEP180UPLCADNI2GO__Asp,22.11634905,Blood test,Amino acids and related metabolites,"ADMC Duke p180 Ultra Performance Liquid Chromatography [ADNI GO,2]",Aspartic Acid,,
ADMCDUKEP180UPLCADNI2GO__Cit,42.00100301,Blood test,Amino acids and related metabolites,"ADMC Duke p180 Ultra Performance Liquid Chromatography [ADNI GO,2]",Citrulline,,
ADMCDUKEP180UPLCADNI2GO__Gln,42.00100301,Blood test,Amino acids and related metabolites,"ADMC Duke p180 Ultra Performance Liquid Chromatography [ADNI GO,2]",Glutamine,,
ADMCDUKEP180UPLCADNI2GO__Glu,42.00100301,Blood test,Amino acids and related metabolites,"ADMC Duke p180 Ultra Performance Liquid Chromatography [ADNI GO,2]",Glutamic Acid,,
ADMCDUKEP180UPLCADNI2GO__Gly,42.00100301,Blood test,Amino acids and related metabolites,"ADMC Duke p180 Ultra Performance Liquid Chromatography [ADNI GO,2]",Glycine,,
ADMCDUKEP180UPLCADNI2GO__His,22.14142427,Blood test,Amino acids and related metabolites,"ADMC Duke p180 Ultra Performance Liquid Chromatography [ADNI GO,2]",Histidine,,
ADMCDUKEP180UPLCADNI2GO__Ile,42.00100301,Blood test,Amino acids and related metabolites,"ADMC Duke p180 Ultra Performance Liquid Chromatography [ADNI GO,2]",Isoleucine,,
ADMCDUKEP180UPLCADNI2GO__Lys,42.00100301,Blood test,Amino acids and related metabolites,"ADMC Duke p180 Ultra Performance Liquid Chromatography [ADNI GO,2]",Lysine,,
ADMCDUKEP180UPLCADNI2GO__Met,42.00100301,Blood test,Amino acids and related metabolites,"ADMC Duke p180 Ultra Performance Liquid Chromatography [ADNI GO,2]",Methionine,,
ADMCDUKEP180UPLCADNI2GO__Orn,42.00100301,Blood test,Amino acids and related metabolites,"ADMC Duke p180 Ultra Performance Liquid Chromatography [ADNI GO,2]",Ornithine,,
ADMCDUKEP180UPLCADNI2GO__Phe,42.00100301,Blood test,Amino acids and related metabolites,"ADMC Duke p180 Ultra Performance Liquid Chromatography [ADNI GO,2]",Phenylalanine,,
ADMCDUKEP180UPLCADNI2GO__Pro,42.00100301,Blood test,Amino acids and related metabolites,"ADMC Duke p180 Ultra Performance Liquid Chromatography [ADNI GO,2]",Proline,,
ADMCDUKEP180UPLCADNI2GO__Ser,42.00100301,Blood test,Amino acids and related metabolites,"ADMC Duke p180 Ultra Performance Liquid Chromatography [ADNI GO,2]",Serine,,
ADMCDUKEP180UPLCADNI2GO__Thr,42.00100301,Blood test,Amino acids and related metabolites,"ADMC Duke p180 Ultra Performance Liquid Chromatography [ADNI GO,2]",Threonine,,
ADMCDUKEP180UPLCADNI2GO__Trp,42.00100301,Blood test,Amino acids and related metabolites,"ADMC Duke p180 Ultra Performance Liquid Chromatography [ADNI GO,2]",Tryptophan,,
ADMCDUKEP180UPLCADNI2GO__Tyr,42.00100301,Blood test,Amino acids and related metabolites,"ADMC Duke p180 Ultra Performance Liquid Chromatography [ADNI GO,2]",Tyrosine,,
ADMCDUKEP180UPLCADNI2GO__Val,42.00100301,Blood test,Amino acids and related metabolites,"ADMC Duke p180 Ultra Performance Liquid Chromatography [ADNI GO,2]",Valine,,
ADMCDUKEP180UPLCADNI2GO__Ac_Orn,0.225677031,Blood test,Amino acids and related metabolites,"ADMC Duke p180 Ultra Performance Liquid Chromatography [ADNI GO,2]",Acetylornithine,,
ADMCDUKEP180UPLCADNI2GO__ADMA,22.14142427,Blood test,Amino acids and related metabolites,"ADMC Duke p180 Ultra Performance Liquid Chromatography [ADNI GO,2]",Asymmetric dimethylarginine,,
ADMCDUKEP180UPLCADNI2GO__alpha_AAA,18.83149448,Blood test,Amino acids and related metabolites,"ADMC Duke p180 Ultra Performance Liquid Chromatography [ADNI GO,2]",alpha-Aminoadipic acid,,
ADMCDUKEP180UPLCADNI2GO__c4_OH_Pro,0.250752257,Blood test,Amino acids and related metabolites,"ADMC Duke p180 Ultra Performance Liquid Chromatography [ADNI GO,2]",c4-OH-proline ,,
